Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Breast Cancer,categorical_errors,low,automated_cleaning,validate against vocabulary,0.0007488999981433153,455,455,0.0,0.3259944915771482,0.32674339157529153
Breast Cancer,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.0007061000214889646,455,455,0.0,0.3052587509155269,0.30596485093701586
Breast Cancer,categorical_errors,high,automated_cleaning,validate against vocabulary,0.0007076000038068742,455,455,0.0,0.3223757743835445,0.32308337438735135
Breast Cancer,class_imbalance,low,automated_cleaning,oversample minority,0.000585400004638359,438,570,30.136986301369863,0.345694303512573,0.3462797035172114
Breast Cancer,class_imbalance,medium,automated_cleaning,oversample minority,0.000523599999723956,413,570,38.01452784503632,0.37480044364929155,0.3753240436490155
Breast Cancer,class_imbalance,high,automated_cleaning,oversample minority,0.0004796000139322132,387,570,47.286821705426355,0.3496677875518795,0.3501473875658117
Breast Cancer,contextual_errors,low,automated_cleaning,IQR clipping,0.03015339997364208,455,455,0.0,0.3269553184509274,0.3571087184245695
Breast Cancer,contextual_errors,medium,automated_cleaning,IQR clipping,0.031187200016574934,455,455,0.0,0.3184537887573238,0.3496409887738987
Breast Cancer,contextual_errors,high,automated_cleaning,IQR clipping,0.029151599999750033,455,455,0.0,0.317005634307861,0.34615723430761103
Breast Cancer,data_heterogeneity,low,automated_cleaning,re-standardise features,0.00735330002498813,455,455,0.0,0.3495917320251461,0.3569450320501342
Breast Cancer,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.007444199989549816,455,455,0.0,0.3509140014648434,0.35835820145439323
Breast Cancer,data_heterogeneity,high,automated_cleaning,re-standardise features,0.007049599982565269,455,455,0.0,0.3613190650939938,0.3683686650765591
Breast Cancer,data_inconsistency,low,automated_cleaning,consistency rules,0.029873899999074638,455,455,0.0,0.31486248970031694,0.3447363896993916
Breast Cancer,data_inconsistency,medium,automated_cleaning,consistency rules,0.03033710000454448,455,455,0.0,0.3298735618591304,0.3602106618636749
Breast Cancer,data_inconsistency,high,automated_cleaning,consistency rules,0.03638679999858141,455,455,0.0,0.31465387344360296,0.35104067344218437
Breast Cancer,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.0018443999870214611,455,455,0.0,0.3723514080047604,0.37419580799178187
Breast Cancer,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.0019053999858442694,455,455,0.0,0.3610548973083492,0.3629602972941935
Breast Cancer,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.001959399989573285,455,455,0.0,0.3352041244506832,0.3371635244402565
Breast Cancer,domain_violations,low,automated_cleaning,IQR clipping,0.03026780000072904,455,455,0.0,0.3133342266082761,0.34360202660900513
Breast Cancer,domain_violations,medium,automated_cleaning,IQR clipping,0.03313440000056289,455,455,0.0,0.3066358566284175,0.3397702566289804
Breast Cancer,domain_violations,high,automated_cleaning,IQR clipping,0.039033800014294684,455,455,0.0,0.3247921466827389,0.3638259466970336
Breast Cancer,duplicates,low,automated_cleaning,drop exact duplicates,0.002010099997278303,477,455,-4.612159329140461,0.3126711845397945,0.3146812845370728
Breast Cancer,duplicates,medium,automated_cleaning,drop exact duplicates,0.002043000014964491,500,455,-9.0,0.3142421245574948,0.3162851245724593
Breast Cancer,duplicates,high,automated_cleaning,drop exact duplicates,0.001985100010642782,523,455,-13.001912045889103,0.32836985588073697,0.33035495589137975
Breast Cancer,duplicates_minority,low,automated_cleaning,drop exact duplicates,0.0017823000089265406,477,455,-4.612159329140461,0.3515813350677487,0.35336363507667523
