Dataset,Error_Type,Severity,Model,Dirty_Accuracy,Clean_Accuracy,Cleaned_Accuracy,Damage_pp,Improvement_pp,Route,Family
Adult Income,ambiguous_labels,high,Decision Tree,0.7462290734294712,0.8508204873197415,,10.459141389027026,,external_intervention,tree
Adult Income,ambiguous_labels,high,Gaussian Naive Bayes,0.7886623570363004,0.797778882811205,,0.9116525774904627,,external_intervention,non-tree
Adult Income,ambiguous_labels,high,KNN,0.756340129288911,0.8189955246146196,,6.265539532570852,,external_intervention,non-tree
Adult Income,ambiguous_labels,high,LightGBM,0.7705950605005801,0.8659041936018564,,9.53091331012763,,external_intervention,tree
Adult Income,ambiguous_labels,high,Logistic Regression,0.8151831592905685,0.817503729487817,,0.2320570197248517,,external_intervention,non-tree
Adult Income,ambiguous_labels,high,MLP,0.7581634344438919,0.845682081882977,,8.751864743908511,,external_intervention,non-tree
Adult Income,ambiguous_labels,high,Random Forest,0.7744074258246312,0.8526437924747223,,7.823636665009115,,external_intervention,tree
Adult Income,ambiguous_labels,high,XGBoost,0.7661196751201724,0.8668987236863915,,10.077904856621911,,external_intervention,tree
Adult Income,ambiguous_labels,low,Decision Tree,0.8188297696005304,0.8508204873197415,,3.1990717719211026,,external_intervention,tree
Adult Income,ambiguous_labels,low,Gaussian Naive Bayes,0.7899883971490138,0.797778882811205,,0.7790485662191204,,external_intervention,non-tree
Adult Income,ambiguous_labels,low,KNN,0.8105420188960716,0.8189955246146196,,0.8453505718547971,,external_intervention,non-tree
Adult Income,ambiguous_labels,low,LightGBM,0.837228576164429,0.8659041936018564,,2.8675617437427414,,external_intervention,tree
Adult Income,ambiguous_labels,low,Logistic Regression,0.8173379744737278,0.817503729487817,,0.016575501408921944,,external_intervention,non-tree
Adult Income,ambiguous_labels,low,MLP,0.8405436764462125,0.845682081882977,,0.513840543676447,,external_intervention,non-tree
Adult Income,ambiguous_labels,low,Random Forest,0.8428642466434609,0.8526437924747223,,0.9779545831261394,,external_intervention,tree
Adult Income,ambiguous_labels,low,XGBoost,0.840046411403945,0.8668987236863915,,2.6852312282446555,,external_intervention,tree
Adult Income,ambiguous_labels,medium,Decision Tree,0.7835239515995359,0.8508204873197415,,6.729653572020555,,external_intervention,tree
Adult Income,ambiguous_labels,medium,Gaussian Naive Bayes,0.788330847008122,0.797778882811205,,0.9448035803083066,,external_intervention,non-tree
Adult Income,ambiguous_labels,medium,KNN,0.7878335819658545,0.8189955246146196,,3.116194264876504,,external_intervention,non-tree
Adult Income,ambiguous_labels,medium,LightGBM,0.8015912481352561,0.8659041936018564,,6.4312945466600375,,external_intervention,tree
Adult Income,ambiguous_labels,medium,Logistic Regression,0.8153489143046577,0.817503729487817,,0.21548151831592977,,external_intervention,non-tree
Adult Income,ambiguous_labels,medium,MLP,0.8040775733465937,0.845682081882977,,4.160450853638331,,external_intervention,non-tree
Adult Income,ambiguous_labels,medium,Random Forest,0.8060666335156639,0.8526437924747223,,4.657715895905845,,external_intervention,tree
Adult Income,ambiguous_labels,medium,XGBoost,0.7997679429802752,0.8668987236863915,,6.713078070611633,,external_intervention,tree
Adult Income,annotator_bias,high,Decision Tree,0.7457318083872038,0.8508204873197415,,10.50886789325377,,external_intervention,tree
Adult Income,annotator_bias,high,Gaussian Naive Bayes,0.7962870876844025,0.797778882811205,,0.1491795126802531,,external_intervention,non-tree
Adult Income,annotator_bias,high,KNN,0.7661196751201724,0.8189955246146196,,5.287584949444712,,external_intervention,non-tree
Adult Income,annotator_bias,high,LightGBM,0.7906514172053705,0.8659041936018564,,7.525277639648598,,external_intervention,tree
Adult Income,annotator_bias,high,Logistic Regression,0.759157964528427,0.817503729487817,,5.834576495939004,,external_intervention,non-tree
Adult Income,annotator_bias,high,MLP,0.7674457152328859,0.845682081882977,,7.823636665009115,,external_intervention,non-tree
Adult Income,annotator_bias,high,Random Forest,0.8276147853472567,0.8526437924747223,,2.5029007127465586,,external_intervention,tree
Adult Income,annotator_bias,high,XGBoost,0.787336316923587,0.8668987236863915,,7.956240676280457,,external_intervention,tree
Adult Income,annotator_bias,low,Decision Tree,0.8145201392342118,0.8508204873197415,,3.630034808552962,,external_intervention,tree
Adult Income,annotator_bias,low,Gaussian Naive Bayes,0.8065638985579314,0.797778882811205,,-0.878501574672641,,external_intervention,non-tree
Adult Income,annotator_bias,low,KNN,0.8030830432620587,0.8189955246146196,,1.5912481352560848,,external_intervention,non-tree
Adult Income,annotator_bias,low,LightGBM,0.838223106248964,0.8659041936018564,,2.768108735289243,,external_intervention,tree
Adult Income,annotator_bias,low,Logistic Regression,0.8042433283606829,0.817503729487817,,1.3260401127134114,,external_intervention,non-tree
Adult Income,annotator_bias,low,MLP,0.8209845847836897,0.845682081882977,,2.469749709928726,,external_intervention,non-tree
Adult Income,annotator_bias,low,Random Forest,0.8470081219956904,0.8526437924747223,,0.5635670479031907,,external_intervention,tree
Adult Income,annotator_bias,low,XGBoost,0.8383888612630532,0.8668987236863915,,2.8509862423338306,,external_intervention,tree
Adult Income,annotator_bias,medium,Decision Tree,0.7879993369799436,0.8508204873197415,,6.282115033979785,,external_intervention,tree
Adult Income,annotator_bias,medium,Gaussian Naive Bayes,0.8015912481352561,0.797778882811205,,-0.3812365324051048,,external_intervention,non-tree
Adult Income,annotator_bias,medium,KNN,0.7812033814022874,0.8189955246146196,,3.779214321233215,,external_intervention,non-tree
Adult Income,annotator_bias,medium,LightGBM,0.8123653240510526,0.8659041936018564,,5.353886955080389,,external_intervention,tree
Adult Income,annotator_bias,medium,Logistic Regression,0.7813691364163766,0.817503729487817,,3.61345930714404,,external_intervention,non-tree
Adult Income,annotator_bias,medium,MLP,0.809050223769269,0.845682081882977,,3.663185811370795,,external_intervention,non-tree
Adult Income,annotator_bias,medium,Random Forest,0.8458478368970661,0.8526437924747223,,0.6795955577656221,,external_intervention,tree
Adult Income,annotator_bias,medium,XGBoost,0.8060666335156639,0.8668987236863915,,6.083209017072766,,external_intervention,tree
Adult Income,categorical_errors,high,Decision Tree,0.850488977291563,0.8508204873197415,0.8496602022211172,0.03315100281784389,-0.08287750704458752,automated_cleaning,tree
