Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,none,none,Logistic Regression,clean,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.028293132781982422,455,30,{'baseline': True}
Breast Cancer,none,none,Gaussian Naive Bayes,clean,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.0009772777557373047,455,30,{'baseline': True}
Breast Cancer,none,none,KNN,clean,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201,0.0009768009185791016,455,30,{'baseline': True}
Breast Cancer,none,none,MLP,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9947089947089947,0.14207768440246582,455,30,{'baseline': True}
Breast Cancer,none,none,Decision Tree,clean,0.9298245614035088,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9246031746031745,0.0039033889770507812,455,30,{'baseline': True}
Breast Cancer,none,none,Random Forest,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9928902116402116,0.08927726745605469,455,30,{'baseline': True}
Breast Cancer,none,none,XGBoost,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9940476190476191,0.13333511352539062,455,30,{'baseline': True}
Breast Cancer,none,none,LightGBM,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9950396825396826,0.026894092559814453,455,30,{'baseline': True}
German Credit,none,none,Logistic Regression,clean,0.74,0.8013698630136986,0.8357142857142857,0.8181818181818182,0.7822619047619048,0.003907442092895508,800,20,{'baseline': True}
German Credit,none,none,Gaussian Naive Bayes,clean,0.685,0.8347826086956521,0.6857142857142857,0.7529411764705882,0.7489285714285714,0.0009768009185791016,800,20,{'baseline': True}
German Credit,none,none,KNN,clean,0.685,0.7452229299363057,0.8357142857142857,0.7878787878787878,0.6685119047619048,0.0009779930114746094,800,20,{'baseline': True}
German Credit,none,none,MLP,clean,0.725,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.7705952380952381,0.20716595649719238,800,20,{'baseline': True}
German Credit,none,none,Decision Tree,clean,0.705,0.7913669064748201,0.7857142857142857,0.7885304659498208,0.7344642857142857,0.0029268264770507812,800,20,{'baseline': True}
German Credit,none,none,Random Forest,clean,0.76,0.7875,0.9,0.84,0.8047619047619047,0.09775733947753906,800,20,{'baseline': True}
German Credit,none,none,XGBoost,clean,0.765,0.7924528301886793,0.9,0.842809364548495,0.7916666666666667,0.03905963897705078,800,20,{'baseline': True}
German Credit,none,none,LightGBM,clean,0.735,0.7919463087248322,0.8428571428571429,0.8166089965397924,0.7807142857142857,0.026899337768554688,800,20,{'baseline': True}
Adult Income,none,none,Logistic Regression,clean,0.817503729487817,0.7135250266240681,0.44607190412782954,0.5489553461696026,0.8500599950452292,0.013671159744262695,24129,14,{'baseline': True}
Adult Income,none,none,Gaussian Naive Bayes,clean,0.797778882811205,0.6985915492957746,0.33022636484687085,0.4484629294755877,0.8497596524724922,0.004865169525146484,24129,14,{'baseline': True}
Adult Income,none,none,KNN,clean,0.8189955246146196,0.6529850746268657,0.5825565912117177,0.6157635467980296,0.849777064700902,0.03763532638549805,24129,14,{'baseline': True}
Adult Income,none,none,MLP,clean,0.845682081882977,0.7425658453695837,0.5818908122503329,0.6524822695035462,0.9020072111605184,6.187488794326782,24129,14,{'baseline': True}
Adult Income,none,none,Decision Tree,clean,0.8508204873197415,0.7483498349834984,0.6038615179760319,0.6683861459100958,0.8851678964940735,0.04296541213989258,24129,14,{'baseline': True}
Adult Income,none,none,Random Forest,clean,0.8526437924747223,0.7978620019436345,0.5466045272969374,0.648755432635322,0.9136199185313424,0.18724727630615234,24129,14,{'baseline': True}
Adult Income,none,none,XGBoost,clean,0.8668987236863915,0.7820823244552058,0.6451398135818908,0.7070412258299891,0.924511157197598,0.07717204093933105,24129,14,{'baseline': True}
Adult Income,none,none,LightGBM,clean,0.8659041936018564,0.7792103142626914,0.6438082556591211,0.7050674444039373,0.9248333201578356,0.07226395606994629,24129,14,{'baseline': True}
Bank Marketing,none,none,Logistic Regression,clean,0.8914077186774301,0.5945273631840796,0.22589792060491493,0.3273972602739726,0.8725823347888823,0.019530773162841797,36168,16,{'baseline': True}
Bank Marketing,none,none,Gaussian Naive Bayes,clean,0.837996240185779,0.35536602700781805,0.4725897920604915,0.4056795131845842,0.8127459567975399,0.007830381393432617,36168,16,{'baseline': True}
Bank Marketing,none,none,KNN,clean,0.8922923808470641,0.5716723549488054,0.3166351606805293,0.4075425790754258,0.8089241642825099,0.0039052963256835938,36168,16,{'baseline': True}
Bank Marketing,none,none,MLP,clean,0.9018024991706293,0.6366559485530546,0.3742911153119093,0.4714285714285714,0.9023179094071706,9.29939866065979,36168,16,{'baseline': True}
Bank Marketing,none,none,Decision Tree,clean,0.8993696782041358,0.5844748858447488,0.4839319470699433,0.5294725956566702,0.850655825608744,0.08353996276855469,36168,16,{'baseline': True}
Bank Marketing,none,none,Random Forest,clean,0.9051199823067566,0.6858736059479554,0.3487712665406427,0.462406015037594,0.9213657933767593,0.2661099433898926,36168,16,{'baseline': True}
Bank Marketing,none,none,XGBoost,clean,0.9094327103837222,0.6604026845637584,0.46502835538752363,0.5457570715474209,0.9317296253727155,0.09473848342895508,36168,16,{'baseline': True}
Bank Marketing,none,none,LightGBM,clean,0.9067787238748203,0.645466847090663,0.45085066162570886,0.5308848080133556,0.9314930049608612,0.0991661548614502,36168,16,{'baseline': True}
Telco Churn,none,none,Logistic Regression,clean,0.7938877043354655,0.6242603550295858,0.5641711229946524,0.5926966292134831,0.8345054381868914,0.008786439895629883,5625,19,{'baseline': True}
Telco Churn,none,none,Gaussian Naive Bayes,clean,0.7327647476901208,0.4981549815498155,0.7219251336898396,0.5895196506550219,0.811996883590187,0.0019352436065673828,5625,19,{'baseline': True}
Telco Churn,none,none,KNN,clean,0.7484008528784648,0.5264550264550265,0.5320855614973262,0.5292553191489362,0.7711716562009825,0.0009665489196777344,5625,19,{'baseline': True}
Telco Churn,none,none,MLP,clean,0.7874911158493249,0.6160990712074303,0.5320855614973262,0.5710186513629842,0.8178932137846777,1.4743971824645996,5625,19,{'baseline': True}
Telco Churn,none,none,Decision Tree,clean,0.749822316986496,0.5374149659863946,0.42245989304812837,0.47305389221556887,0.7270501265717939,0.012656450271606445,5625,19,{'baseline': True}
Telco Churn,none,none,Random Forest,clean,0.7874911158493249,0.6288659793814433,0.4893048128342246,0.5503759398496241,0.8292277308705759,0.14061880111694336,5625,19,{'baseline': True}
Telco Churn,none,none,XGBoost,clean,0.7917555081734187,0.6277602523659306,0.5320855614973262,0.5759768451519537,0.8244120494277092,0.05423545837402344,5625,19,{'baseline': True}
Telco Churn,none,none,LightGBM,clean,0.7889125799573561,0.6237942122186495,0.5187165775401069,0.5664233576642336,0.8278261229687687,0.04686999320983887,5625,19,{'baseline': True}
