Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,none,none,Logistic Regression,clean,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.9573412698412699,0.994273631904294,0.005895137786865234,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,Gaussian Naive Bayes,clean,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9890873015873015,0.9077380952380952,0.9822886030109494,0.0009598731994628906,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,KNN,clean,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982308201058201,0.9454365079365079,0.9727913619290999,0.0009760856628417969,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,MLP,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.994378306878307,0.9523809523809523,0.9921210029905683,0.13493561744689941,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,Decision Tree,clean,0.9473684210526315,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.943452380952381,0.9434523809523809,0.8885606874328679,0.0049896240234375,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,Random Forest,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9915674603174602,0.9642857142857143,0.9875892320996758,0.09293985366821289,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,XGBoost,clean,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9940476190476191,0.9523809523809523,0.9928571428571429,0.05246686935424805,455,30,"{'baseline': True, 'seed': 123}"
Breast Cancer,none,none,LightGBM,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9950396825396826,0.9642857142857143,0.9937343358395991,0.02825474739074707,455,30,"{'baseline': True, 'seed': 123}"
German Credit,none,none,Logistic Regression,clean,0.74,0.8013698630136986,0.8357142857142857,0.8181818181818182,0.7822619047619048,0.6761904761904762,0.8863448372206485,0.0029320716857910156,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,Gaussian Naive Bayes,clean,0.685,0.8347826086956521,0.6857142857142857,0.7529411764705882,0.7489285714285714,0.6845238095238095,0.857077514074338,0.0009765625,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,KNN,clean,0.685,0.7452229299363057,0.8357142857142857,0.7878787878787878,0.6685119047619048,0.5845238095238096,0.7983566895912868,0.0009860992431640625,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,MLP,clean,0.715,0.7902097902097902,0.8071428571428572,0.7985865724381626,0.7682142857142857,0.6535714285714286,0.8848759194759152,0.20586872100830078,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,Decision Tree,clean,0.68,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.6917857142857142,0.6190476190476191,0.8114085683141998,0.0029287338256835938,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,Random Forest,clean,0.765,0.7852760736196319,0.9142857142857143,0.8448844884488449,0.8247619047619047,0.6654761904761904,0.914641253166526,0.09598684310913086,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,XGBoost,clean,0.765,0.7924528301886793,0.9,0.842809364548495,0.7916666666666667,0.675,0.8898591747083129,0.043111562728881836,800,20,"{'baseline': True, 'seed': 123}"
German Credit,none,none,LightGBM,clean,0.735,0.7919463087248322,0.8428571428571429,0.8166089965397924,0.7807142857142857,0.6630952380952381,0.8884203894781103,0.023550987243652344,800,20,"{'baseline': True, 'seed': 123}"
