Dataset,Error_Type,Severity,Route,Method,Clean_Seconds,Rows_Before,Rows_After,Row_Change_Pct,Train_Seconds_After_Clean,Total_Compute_Seconds
Breast Cancer,categorical_errors,low,automated_cleaning,validate against vocabulary,0.0007401999901048839,455,455,0.0,0.3259944915771482,0.3267346915672531
Breast Cancer,categorical_errors,medium,automated_cleaning,validate against vocabulary,0.0006914999976288527,455,455,0.0,0.3052587509155269,0.30595025091315575
Breast Cancer,categorical_errors,high,automated_cleaning,validate against vocabulary,0.0006916999991517514,455,455,0.0,0.3223757743835445,0.32306747438269623
Breast Cancer,class_imbalance,low,automated_cleaning,oversample minority,0.0005231999966781586,438,570,30.136986301369863,0.345694303512573,0.3462175035092512
Breast Cancer,class_imbalance,medium,automated_cleaning,oversample minority,0.0004962999955751002,413,570,38.01452784503632,0.37480044364929155,0.37529674364486665
Breast Cancer,class_imbalance,high,automated_cleaning,oversample minority,0.00047950001317076385,387,570,47.286821705426355,0.3496677875518795,0.35014728756505026
Breast Cancer,contextual_errors,low,automated_cleaning,IQR clipping,0.029299299989361316,455,455,0.0,0.3269553184509274,0.3562546184402887
Breast Cancer,contextual_errors,medium,automated_cleaning,IQR clipping,0.027282700000796467,455,455,0.0,0.3184537887573238,0.34573648875812024
Breast Cancer,contextual_errors,high,automated_cleaning,IQR clipping,0.02753849999862723,455,455,0.0,0.317005634307861,0.3445441343064882
Breast Cancer,data_heterogeneity,low,automated_cleaning,re-standardise features,0.007374599983450025,455,455,0.0,0.3495917320251461,0.3569663320085961
Breast Cancer,data_heterogeneity,medium,automated_cleaning,re-standardise features,0.006951200019102544,455,455,0.0,0.3509140014648434,0.35786520148394596
Breast Cancer,data_heterogeneity,high,automated_cleaning,re-standardise features,0.007304800004931167,455,455,0.0,0.3613190650939938,0.368623865098925
Breast Cancer,data_inconsistency,low,automated_cleaning,consistency rules,0.02879509999183938,455,455,0.0,0.31486248970031694,0.3436575896921563
Breast Cancer,data_inconsistency,medium,automated_cleaning,consistency rules,0.02924229999189265,455,455,0.0,0.3298735618591304,0.35911586185102307
Breast Cancer,data_inconsistency,high,automated_cleaning,consistency rules,0.02803039998980239,455,455,0.0,0.31465387344360296,0.34268427343340535
Breast Cancer,data_leakage,low,automated_cleaning,drop features with |corr| > 0.5,0.0017219000146724284,455,455,0.0,0.3723514080047604,0.37407330801943284
Breast Cancer,data_leakage,medium,automated_cleaning,drop features with |corr| > 0.5,0.001736699981847778,455,455,0.0,0.3610548973083492,0.362791597290197
Breast Cancer,data_leakage,high,automated_cleaning,drop features with |corr| > 0.5,0.0016856000002007931,455,455,0.0,0.3352041244506832,0.336889724450884
Breast Cancer,domain_violations,low,automated_cleaning,IQR clipping,0.029323399998247623,455,455,0.0,0.3133342266082761,0.3426576266065237
Breast Cancer,domain_violations,medium,automated_cleaning,IQR clipping,0.029184400016674772,455,455,0.0,0.3066358566284175,0.3358202566450923
Breast Cancer,domain_violations,high,automated_cleaning,IQR clipping,0.027512899978319183,455,455,0.0,0.3247921466827389,0.3523050466610581
Breast Cancer,duplicates,low,automated_cleaning,drop exact duplicates,0.0017653999966569245,477,455,-4.612159329140461,0.3126711845397945,0.3144365845364514
Breast Cancer,duplicates,medium,automated_cleaning,drop exact duplicates,0.0016946000105235726,500,455,-9.0,0.3142421245574948,0.31593672456801836
Breast Cancer,duplicates,high,automated_cleaning,drop exact duplicates,0.0016903000068850815,523,455,-13.001912045889103,0.32836985588073697,0.33006015588762205
Breast Cancer,duplicates_minority,low,automated_cleaning,drop exact duplicates,0.0016955000173766166,477,455,-4.612159329140461,0.3515813350677487,0.3532768350851253
Breast Cancer,duplicates_minority,medium,automated_cleaning,drop exact duplicates,0.0016861999756656587,500,455,-9.0,0.3652744293212886,0.3669606292969543
Breast Cancer,duplicates_minority,high,automated_cleaning,drop exact duplicates,0.0017158999980892986,523,455,-13.001912045889103,0.35618615150451627,0.35790205150260557
Breast Cancer,duplicates_targeted,low,automated_cleaning,drop exact duplicates,0.001687799987848848,477,455,-4.612159329140461,0.37036085128784146,0.3720486512756903
Breast Cancer,duplicates_targeted,medium,automated_cleaning,drop exact duplicates,0.0017621000006329268,500,455,-9.0,0.3422517776489255,0.34401387764955843
Breast Cancer,duplicates_targeted,high,automated_cleaning,drop exact duplicates,0.002245199983008206,523,455,-13.001912045889103,0.3677628040313718,0.37000800401438
Breast Cancer,feature_noise,low,automated_cleaning,rank-order median smoothing,0.014054100000066683,455,455,0.0,0.3118860721588131,0.32594017215887977
Breast Cancer,feature_noise,medium,automated_cleaning,rank-order median smoothing,0.014174400013871491,455,455,0.0,0.3379013538360592,0.3520757538499307
Breast Cancer,feature_noise,high,automated_cleaning,rank-order median smoothing,0.014852499996777624,455,455,0.0,0.3169643878936766,0.3318168878904542
Breast Cancer,feature_noise_targeted,low,automated_cleaning,rank-order median smoothing,0.013621800026157871,455,455,0.0,0.36600232124328586,0.3796241212694437
Breast Cancer,feature_noise_targeted,medium,automated_cleaning,rank-order median smoothing,0.014873999985866249,455,455,0.0,0.356908559799194,0.37178255978506025
Breast Cancer,feature_noise_targeted,high,automated_cleaning,rank-order median smoothing,0.013464000017847866,455,455,0.0,0.36869645118713357,0.38216045120498143
Breast Cancer,imbalanced_feature_distribution,low,automated_cleaning,quantile transform,0.0158178000128828,455,455,0.0,0.3593354225158687,0.3751532225287515
Breast Cancer,imbalanced_feature_distribution,medium,automated_cleaning,quantile transform,0.0161526000010781,455,455,0.0,0.37226700782775846,0.38841960782883656
Breast Cancer,imbalanced_feature_distribution,high,automated_cleaning,quantile transform,0.015905999985989183,455,455,0.0,0.35499715805053683,0.370903158036526
Breast Cancer,invalid_values,low,automated_cleaning,sentinel to NaN then impute,0.021397700009401888,455,455,0.0,0.3200254440307614,0.3414231440401633
Breast Cancer,invalid_values,medium,automated_cleaning,sentinel to NaN then impute,0.02046699999482371,455,455,0.0,0.3395645618438716,0.36003156183869534
Breast Cancer,invalid_values,high,automated_cleaning,sentinel to NaN then impute,0.020943499985150993,455,455,0.0,0.327668190002441,0.348611689987592
Breast Cancer,missing_values,low,automated_cleaning,KNN imputation,0.01803120001568459,455,455,0.0,0.3329217433929441,0.3509529434086287
Breast Cancer,missing_values,medium,automated_cleaning,KNN imputation,0.0207751999842003,455,455,0.0,0.3234624862670895,0.3442376862512898
Breast Cancer,missing_values,high,automated_cleaning,KNN imputation,0.023414600000251085,455,455,0.0,0.3466391563415523,0.3700537563418034
Breast Cancer,missing_values_mnar,low,automated_cleaning,KNN imputation,0.015208000026177615,455,455,0.0,0.35511183738708463,0.37031983741326224
