Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values,low,Logistic Regression,dirty,0.98245614,1,0.952380952,0.975609756,0.99702381,0.029277563,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,dirty,0.921052632,0.923076923,0.857142857,0.888888889,0.988425926,0.001003265,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,KNN,dirty,0.956140351,0.974358974,0.904761905,0.938271605,0.984457672,0,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,MLP,dirty,0.964912281,1,0.904761905,0.95,0.995039683,0.13539052,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,Decision Tree,dirty,0.929824561,0.925,0.880952381,0.902439024,0.919642857,0.003905058,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,Random Forest,dirty,0.964912281,1,0.904761905,0.95,0.994378307,0.08976078,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,XGBoost,dirty,0.973684211,1,0.928571429,0.962962963,0.995039683,0.129510403,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,LightGBM,dirty,0.98245614,1,0.952380952,0.975609756,0.99702381,0.029296637,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1}"
Breast Cancer,missing_values,low,Logistic Regression,cleaned,0.973684211,0.975609756,0.952380952,0.963855422,0.997354497,0.005877018,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,cleaned,0.921052632,0.923076923,0.857142857,0.888888889,0.989087302,0.001953602,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,low,KNN,cleaned,0.956140351,0.974358974,0.904761905,0.938271605,0.98396164,0.000976563,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,low,MLP,cleaned,0.964912281,1,0.904761905,0.95,0.99537037,0.150505543,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,low,Decision Tree,cleaned,0.938596491,0.972972973,0.857142857,0.911392405,0.921626984,0.004882336,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values,low,Random Forest,cleaned,0.973684211,1,0.928571429,0.962962963,0.997354497,0.084213018,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.523809523809524), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
