Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values,low,Logistic Regression,dirty,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.9963624338624338,0.9880952380952381,0.9950584007187782,0.009766101837158203,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.988095238095238,0.9077380952380952,0.980738559846398,0.0009930133819580078,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,KNN,dirty,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9833002645502646,0.933531746031746,0.9745548937278261,0.0009763240814208984,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,MLP,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9923941798941798,0.9523809523809523,0.9893090669907494,0.2810380458831787,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,Decision Tree,dirty,0.9210526315789473,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.9027777777777778,0.9027777777777778,0.8496917970602181,0.01096796989440918,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,Random Forest,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9927248677248677,0.9454365079365079,0.9890114908731928,0.10238218307495117,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,XGBoost,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9930555555555556,0.9761904761904762,0.992063492063492,0.059545278549194336,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,LightGBM,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9957010582010581,0.9523809523809523,0.9939107872018267,0.040697574615478516,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'seed': 123}"
Breast Cancer,missing_values,low,Logistic Regression,cleaned,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9963624338624338,0.9692460317460317,0.9945670995670997,0.009806156158447266,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,Gaussian Naive Bayes,cleaned,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9887566137566137,0.9077380952380952,0.9817770162624289,0.0019426345825195312,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,KNN,cleaned,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9828042328042329,0.9454365079365079,0.9734598562771937,0.0019526481628417969,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,MLP,cleaned,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9910714285714286,0.9523809523809523,0.98805965188079,0.3185732364654541,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,Decision Tree,cleaned,0.9210526315789473,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9176587301587301,0.9176587301587302,0.8346447514134173,0.0049097537994384766,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,Random Forest,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,0.9642857142857143,0.9918979962098644,0.1136927604675293,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,XGBoost,cleaned,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9933862433862434,0.9761904761904762,0.991749723145072,0.07056450843811035,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
Breast Cancer,missing_values,low,LightGBM,cleaned,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,0.9642857142857143,0.9931674424155628,0.03418326377868652,455,30,"{'error_type': 'missing_values', 'intended_rate': 10, 'actual_rate': np.float64(9.494505494505495), 'cells_corrupted': 1365, 'injection_version': 1, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False, 'seed': 123}"
