Dataset,Error_Type,Severity,cells_changed_pct,labels_changed_pct,row_delta,col_delta,magnitude,renames,problem,total_change
Breast Cancer,missing_values,low,9.523809523809524,0.0,0,0,65039.19657469999,0,,20.606570290392884
Breast Cancer,missing_values,medium,18.124542124542124,0.0,0,0,168394.9600942,0,,30.158615515105296
Breast Cancer,missing_values,high,25.853479853479854,0.0,0,0,213669.10844799998,0,,38.12566840876578
Breast Cancer,label_noise,low,0.0,4.835164835164836,0,0,0.0,0,,4.835164835164836
Breast Cancer,label_noise,medium,0.0,9.89010989010989,0,0,0.0,0,,9.89010989010989
Breast Cancer,label_noise,high,0.0,14.945054945054945,0,0,0.0,0,,14.945054945054945
Breast Cancer,duplicates,low,,,22,0,0.0,0,,22.0
Breast Cancer,duplicates,medium,,,45,0,0.0,0,,45.0
Breast Cancer,duplicates,high,,,68,0,0.0,0,,68.0
Breast Cancer,outliers,low,0.8791208791208791,0.0,0,0,16648.32954647422,0,,10.599246106239686
Breast Cancer,outliers,medium,4.835164835164836,0.0,0,0,88026.09475388011,0,,16.220564776165716
Breast Cancer,outliers,high,9.89010989010989,0.0,0,0,201948.20018119318,0,,22.105881350614247
Breast Cancer,invalid_values,low,2.0,0.0,0,0,1095978.444233,0,,15.907158991052354
Breast Cancer,invalid_values,medium,4.871794871794872,0.0,0,0,2496956.284269,0,,19.602378334089874
Breast Cancer,invalid_values,high,9.567765567765568,0.0,0,0,4626854.167411,0,,24.915153533546253
Breast Cancer,class_imbalance,low,,,-17,0,0.0,0,,17.0
Breast Cancer,class_imbalance,medium,,,-42,0,0.0,0,,42.0
Breast Cancer,class_imbalance,high,,,-68,0,0.0,0,,68.0
Breast Cancer,feature_noise,low,100.0,0.0,0,0,19172.87718919725,0,,109.86130406854693
Breast Cancer,feature_noise,medium,100.0,0.0,0,0,59748.83983738693,0,,110.99792178924434
Breast Cancer,feature_noise,high,100.0,0.0,0,0,97718.90311076635,0,,111.48986053387269
Breast Cancer,categorical_errors,low,0.0,0.0,0,0,0.0,0,,0.0
Breast Cancer,categorical_errors,medium,0.0,0.0,0,0,0.0,0,,0.0
Breast Cancer,categorical_errors,high,0.0,0.0,0,0,0.0,0,,0.0
Breast Cancer,data_inconsistency,low,0.32234432234432236,0.0,0,0,3049.762076,0,,8.34549102171933
Breast Cancer,data_inconsistency,medium,0.6593406593406593,0.0,0,0,14303.566588,0,,10.227674766428093
Breast Cancer,data_inconsistency,high,0.9963369963369964,0.0,0,0,16894.595908,0,,10.731145266127058
Breast Cancer,typographical_errors,low,0.0,0.0,0,0,0.0,0,,0.0
Breast Cancer,typographical_errors,medium,0.0,0.0,0,0,0.0,0,,0.0
