Error_Type,Method,Damage_pp,Improvement_pp,Clean_Seconds,Train_Delta_Seconds,Marginal_Compute_Seconds,pp_per_second,pp_per_second_marginal,Cost_Band
contextual_errors,IQR clipping,3.5571973197112174,2.6351255128682856,0.011848773329984352,-0.013258981704711651,0.0245517470136595,222.3964826974849,107.3294503809533,negligible
invalid_values,sentinel to NaN then impute,2.6235357100433108,2.576908346713583,0.011010166661192915,-0.041360251108805056,0.042184524393329974,234.04807810914497,61.086580535705465,negligible
data_inconsistency,consistency rules,1.2377679570121007,1.2146832607880933,0.02248890000240252,-0.01777647336324071,0.0860049923028175,54.0125688965813,14.12340409858162,negligible
data_leakage,drop features with |corr| > 0.5,3.0977115552829746,0.9179593315079217,0.00201888000204534,0.07958256403605163,0.1354354691032011,454.6874160811596,6.77783550783467,negligible
duplicates_minority,drop exact duplicates,0.5152994303949072,0.5141128153420195,0.01165108000471562,-0.4130235354105631,0.013366374524775832,44.12576474746883,38.463146037772844,negligible
redundant_features,drop correlated features,0.515331191594092,0.358819148002897,0.0031424333283211602,-0.10289463996887148,0.050015239877393765,114.18512678345209,7.17419628262302,negligible
domain_violations,IQR clipping,0.5725170013313867,0.29767973148414373,0.011615706663966746,0.003659534454345507,0.03553021866246094,25.627345808204712,8.378212763397764,negligible
imbalanced_feature_distribution,quantile transform,0.6838243080942094,0.17752168539893437,0.018724999999782655,0.20004806518554694,0.23137976544676345,9.480463839839514,0.7672308123234705,negligible
outliers,IQR clipping,0.37765102509981113,0.15405206504194344,0.01148413333188116,0.009648148218790793,0.08604086550961579,13.414339644967264,1.7904522941453538,negligible
outliers_targeted,IQR clipping,0.6190089360003358,0.05672070925957691,0.01140864666473736,0.05040302276611306,0.10059318518809324,4.971729857748442,0.5638623446858574,negligible
duplicates,drop exact duplicates,0.05404114046703185,0.05285452541414411,0.011801606665054908,-0.40614571571350083,0.011801606665054908,4.478587273260746,4.478587273260746,negligible
feature_noise_targeted,rank-order median smoothing,0.3319653460466726,0.013069805560773732,0.022588880003119444,-0.011306333541870014,0.07410054916205498,0.5785946695439896,0.17637933468199515,negligible
duplicates_targeted,drop exact duplicates,0.013041056996563712,0.01185444194367596,0.011680200001380045,-0.3515689849853516,0.013106785516720214,1.014917719069479,0.9044507464132491,negligible
data_heterogeneity,re-standardise features,2.4132876532116483,0.0,0.004471506667323361,0.04944106737772638,0.06504742105025808,0.0,0.0,negligible
categorical_errors,validate against vocabulary,-0.0678295436986225,-0.004005746173821878,0.011781559997082946,0.0076320489247638235,0.03044539552259558,-0.34000133894099593,-0.1315714939833494,negligible
feature_noise,rank-order median smoothing,0.08153897813447883,-0.006745831859507334,0.02549574000489272,0.03014405568440757,0.06390235049378433,-0.26458662734295163,-0.10556469061593422,negligible
missing_values_mnar,KNN imputation,6.542907738312505,4.32149422804113,14.513862099997157,0.17097042401631685,14.723902748775435,0.29774943418002964,0.29350195405226664,substantial
missing_values,KNN imputation,0.364113348224679,0.2848980954223383,15.559009573338942,-0.16557610829671232,15.568832100906487,0.018310811756972238,0.01829925928777601,substantial
typographical_errors,fuzzy match to known categories,-0.2932288059519089,-0.11614380570466495,0.7762945733401769,-0.072943131128947,0.805337691499153,-0.1496130588739412,-0.144217521333766,substantial
