Error_Type,Mean_Damage_pp,Best_Rank,Worst_Rank,Rank_Range
annotator_bias,7.180866978831269,1,4,3
missing_values_mnar,6.542907738312505,1,5,4
ambiguous_labels,4.938129795070774,2,10,8
label_noise_asymmetric,3.5902905612918747,3,25,22
contextual_errors,3.5571973197112174,1,24,23
data_leakage,3.0977115552829746,4,14,10
invalid_values,2.6235357100433108,1,25,24
concept_drift,2.541630366208969,3,13,10
data_heterogeneity,2.4132876532116487,5,9,4
data_inconsistency,1.2377679570121007,3,28,25
label_noise,0.9579124183397592,8,23,15
imbalanced_feature_distribution,0.6838243080942094,10,19,9
outliers_targeted,0.6190089360003357,9,17,8
domain_violations,0.5725170013313867,7,26,19
redundant_features,0.515331191594092,5,24,19
duplicates_minority,0.5152994303949072,11,23,12
outliers,0.3776510250998111,10,21,11
missing_values,0.364113348224679,10,20,10
feature_noise_targeted,0.3319653460466726,11,23,12
data_drift,0.2683114305372092,11,27,16
class_imbalance,0.1618893506064324,7,27,20
feature_noise,0.08153897813447877,12,28,16
duplicates,0.05404114046703184,16,25,9
data_representativeness,0.03183004771198279,13,26,13
duplicates_targeted,0.013041056996563709,18,26,8
categorical_errors,-0.06782954369862247,16,28,12
provenance_issues,-0.13485622087038507,17,28,11
typographical_errors,-0.2932288059519089,21,28,7
