Error_Type,Mean_Damage_pp,Best_Rank,Worst_Rank,Rank_Range
annotator_bias,7.18086697883127,1,7,6
missing_values_mnar,6.542907738312505,1,18,17
ambiguous_labels,4.938129795070774,1,5,4
label_noise_asymmetric,3.5902905612918743,3,7,4
contextual_errors,3.557197319711218,1,16,15
data_leakage,3.097711555282975,2,11,9
invalid_values,2.6235357100433108,2,23,21
concept_drift,2.5416303662089694,4,8,4
data_heterogeneity,2.4132876532116487,3,9,6
data_inconsistency,1.2377679570121005,4,28,24
label_noise,0.957912418339759,8,18,10
imbalanced_feature_distribution,0.6838243080942092,9,19,10
outliers_targeted,0.6190089360003357,11,16,5
domain_violations,0.5725170013313867,10,26,16
redundant_features,0.515331191594092,9,26,17
duplicates_minority,0.5152994303949072,8,21,13
outliers,0.377651025099811,14,27,13
missing_values,0.3641133482246789,10,27,17
feature_noise_targeted,0.3319653460466726,14,22,8
data_drift,0.26831143053720924,10,25,15
class_imbalance,0.1618893506064324,15,27,12
feature_noise,0.08153897813447877,16,26,10
duplicates,0.054041140467031845,17,27,10
data_representativeness,0.0318300477119828,21,25,4
duplicates_targeted,0.013041056996563702,20,28,8
categorical_errors,-0.06782954369862251,20,25,5
provenance_issues,-0.13485622087038507,16,28,12
typographical_errors,-0.2932288059519089,19,28,9
