Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata,Random_State
Breast Cancer,ambiguous_labels,low,Logistic Regression,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9927248677248678,0.9692460317460317,0.9898425603303653,0.31263160705566406,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9897486772486772,0.9077380952380952,0.983399210783561,0.0009768009185791016,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,KNN,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9927248677248677,0.9573412698412699,0.9833160800552105,0.0021810531616210938,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,MLP,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9874338624338624,0.9692460317460317,0.9869358178053831,0.2739136219024658,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,Decision Tree,dirty,0.868421052631579,0.7755102040816326,0.9047619047619048,0.8351648351648352,0.8759920634920635,0.8759920634920635,0.7367398087054371,0.012268543243408203,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,Random Forest,dirty,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9915674603174603,0.9503968253968254,0.9875894318447509,0.15714025497436523,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,XGBoost,dirty,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.994378306878307,0.9533730158730158,0.9915758183615327,0.18477249145507812,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
Breast Cancer,ambiguous_labels,low,LightGBM,dirty,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9953703703703705,0.9672619047619048,0.9931800388611021,0.03288412094116211,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 15, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,Logistic Regression,dirty,0.725,0.7931034482758621,0.8214285714285714,0.8070175438596491,0.7711904761904762,0.6607142857142857,0.8795038797980091,0.004292488098144531,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,Gaussian Naive Bayes,dirty,0.665,0.8173913043478261,0.6714285714285714,0.7372549019607844,0.7365476190476191,0.6607142857142857,0.8469162096876386,0.0010085105895996094,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,KNN,dirty,0.685,0.7549668874172185,0.8142857142857143,0.7835051546391752,0.6582738095238095,0.5988095238095238,0.7924710696241527,0.0009772777557373047,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,MLP,dirty,0.72,0.8,0.8,0.8,0.7546428571428571,0.6666666666666667,0.8672059284777511,0.38102054595947266,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,Decision Tree,dirty,0.655,0.784,0.7,0.7396226415094339,0.6307142857142858,0.625,0.7753124916176144,0.002810955047607422,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,Random Forest,dirty,0.78,0.8,0.9142857142857143,0.8533333333333334,0.8126190476190476,0.6904761904761905,0.9095458921293281,0.15168452262878418,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
German Credit,ambiguous_labels,low,XGBoost,dirty,0.745,0.7947019867549668,0.8571428571428571,0.8247422680412371,0.77,0.6702380952380952,0.886634151762441,0.054192304611206055,800,20,"{'error_type': 'ambiguous_labels', 'intended_rate': 3.5, 'ambiguous_labels': 28, 'boundary_method': 'median distance in feature space', 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 3.5, 'seed': 42}",42
