Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,missing_values_mnar,low,Logistic Regression,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.996362433862434,0.9692460317460317,0.9940572365131266,0.02733445167541504,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,dirty,0.9210526315789473,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.9887566137566137,0.9077380952380952,0.9817770162624289,0.0,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,KNN,dirty,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9839616402116402,0.9454365079365079,0.9759051579333993,0.000989675521850586,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,MLP,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9966931216931216,0.9642857142857143,0.9949074074074075,0.1530303955078125,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,Decision Tree,dirty,0.9298245614035088,0.8863636363636364,0.9285714285714286,0.9069767441860465,0.9295634920634921,0.9295634920634921,0.8493677375256322,0.006858348846435547,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,Random Forest,dirty,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9993386243386243,0.9761904761904762,0.9988925802879292,0.10635137557983398,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,XGBoost,dirty,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9973544973544974,0.9523809523809523,0.9959163898117388,0.14908552169799805,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,LightGBM,dirty,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9933862433862433,0.9642857142857143,0.9914514889278631,0.035642147064208984,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42}"
Breast Cancer,missing_values_mnar,low,Logistic Regression,cleaned,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9970238095238095,0.9573412698412699,0.9951137197124669,0.009781837463378906,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,Gaussian Naive Bayes,cleaned,0.9298245614035088,0.9473684210526315,0.8571428571428571,0.9,0.9897486772486772,0.9146825396825397,0.9834354012854756,0.0029129981994628906,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
Breast Cancer,missing_values_mnar,low,KNN,cleaned,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9821428571428572,0.9216269841269842,0.9718192021109642,0.0009558200836181641,455,30,"{'error_type': 'missing_values_mnar', 'mechanism': 'MNAR - missingness depends on target', 'intended_rate': 7, 'actual_rate': np.float64(6.571428571428571), 'schedule': 'lower', 'severity_label': 'low', 'rate_used': 7, 'seed': 42, 'remediation_route': 'automated_cleaning', 'recovery_evaluation_status': 'evaluated', 'method': 'KNN imputation', 'reason': 'imputation, though MNAR limits what is recoverable', 'rows_before': 455, 'rows_after': 455, 'test_transformed': False}"
