Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,none,none,Logistic Regression,clean,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9990079365079365,0.9742063492063492,0.9984126984126984,0.03027200698852539,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,Gaussian Naive Bayes,clean,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9930555555555556,0.9503968253968254,0.989223661089467,0.0009627342224121094,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,KNN,clean,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.99619708994709,0.9642857142857143,0.9908008658008658,0.000978231430053711,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,MLP,clean,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9930555555555556,0.9742063492063492,0.9911690030521568,0.14838075637817383,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,Decision Tree,clean,0.9385964912280702,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9315476190476191,0.9315476190476191,0.8736475334678159,0.005858421325683594,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,Random Forest,clean,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9943783068783069,0.9672619047619048,0.9916114554528961,0.09578442573547363,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,XGBoost,clean,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9937169312169312,0.9692460317460317,0.9906839502016977,0.13947224617004395,455,30,"{'baseline': True, 'split_seed': 100}"
Breast Cancer,none,none,LightGBM,clean,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9986772486772486,0.9761904761904762,0.997810329205678,0.03090977668762207,455,30,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,Logistic Regression,clean,0.835,0.8451612903225807,0.9357142857142857,0.888135593220339,0.8607142857142857,0.7678571428571428,0.9218653681667888,0.003911018371582031,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,Gaussian Naive Bayes,clean,0.755,0.8421052631578947,0.8,0.8205128205128205,0.8483333333333335,0.7250000000000001,0.9287183718077267,0.0009784698486328125,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,KNN,clean,0.785,0.793939393939394,0.9357142857142857,0.8590163934426229,0.8085119047619049,0.6845238095238095,0.8750895824351645,0.0015094280242919922,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,MLP,clean,0.785,0.825503355704698,0.8785714285714286,0.8512110726643599,0.8125,0.7226190476190476,0.9003561947371232,0.211395263671875,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,Decision Tree,clean,0.71,0.7808219178082192,0.8142857142857143,0.7972027972027972,0.7269047619047619,0.6404761904761904,0.8281550097349066,0.002930164337158203,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,Random Forest,clean,0.8,0.8048780487804879,0.9428571428571428,0.868421052631579,0.8529761904761904,0.7047619047619047,0.9245517275450387,0.09463334083557129,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,XGBoost,clean,0.82,0.8376623376623377,0.9214285714285714,0.8775510204081632,0.8434523809523808,0.7523809523809524,0.9133453110830383,0.05525660514831543,800,20,"{'baseline': True, 'split_seed': 100}"
German Credit,none,none,LightGBM,clean,0.805,0.8344370860927153,0.9,0.865979381443299,0.8210714285714286,0.7416666666666667,0.8970956741134238,0.02538776397705078,800,20,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,Logistic Regression,clean,0.8189955246146196,0.7144351464435147,0.45472703062583225,0.5557363710333605,0.8535490529657948,0.6972377152687758,0.695668854926,0.01322174072265625,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,Gaussian Naive Bayes,clean,0.7961213326703133,0.6842818428184282,0.3362183754993342,0.45089285714285715,0.8543044644953642,0.6423974243420308,0.6836807989720504,0.004881620407104492,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,KNN,clean,0.8254599701640974,0.6747081712062257,0.5772303595206392,0.6221743810548978,0.8554002593760808,0.7424884969088519,0.6326012482802945,0.03712725639343262,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,MLP,clean,0.8426984916293718,0.7093111279333838,0.6238348868175766,0.6638328019837053,0.9025519126855358,0.7695426916983491,0.7663081436758383,10.431660652160645,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,Decision Tree,clean,0.8480026520802254,0.7127272727272728,0.6524633821571239,0.681265206812652,0.8952169563659842,0.7826430792930841,0.7507838984088498,0.04229855537414551,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,Random Forest,clean,0.848499917122493,0.7905138339920948,0.5326231691078562,0.6364359586316627,0.9139434039393073,0.7429171903804564,0.8018135993658285,0.17397737503051758,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,XGBoost,clean,0.866401458644124,0.7779552715654952,0.6484687083888149,0.7073347857661583,0.9243610593805478,0.793556799570704,0.8220105923513444,0.08597254753112793,24129,14,"{'baseline': True, 'split_seed': 100}"
Adult Income,none,none,LightGBM,clean,0.8672302337145699,0.7788385043754972,0.651797603195739,0.7096774193548387,0.922950448471412,0.7952212469741662,0.8203920896733303,0.07262849807739258,24129,14,"{'baseline': True, 'split_seed': 100}"
Bank Marketing,none,none,Logistic Regression,clean,0.893177043016698,0.6210526315789474,0.22306238185255198,0.3282336578581363,0.8737953843039818,0.6025142842262133,0.47515989818953747,0.022750139236450195,36168,16,"{'baseline': True, 'split_seed': 100}"
Bank Marketing,none,none,Gaussian Naive Bayes,clean,0.8406502266946809,0.36447275300778487,0.4867674858223062,0.4168352893565358,0.8170414636138411,0.6871533108510404,0.36633219397175154,0.00839090347290039,36168,16,"{'baseline': True, 'split_seed': 100}"
