Dataset,Error_Type,Severity,Model,Condition,Accuracy,Precision,Recall,F1,AUC,Balanced_Accuracy,AUPRC,Train_Seconds,N_Train_Rows,N_Features,Metadata
Breast Cancer,ambiguous_labels,low,Logistic Regression,dirty,0.9649122807017544,0.9130434782608695,1.0,0.9545454545454546,0.9986772486772487,0.9722222222222222,0.9978458049886623,0.005742073059082031,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,Gaussian Naive Bayes,dirty,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9950396825396826,0.9573412698412699,0.991822554358536,0.0009772777557373047,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,KNN,dirty,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9803240740740741,0.9623015873015872,0.9769550364005251,0.0,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,MLP,dirty,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.998015873015873,0.9603174603174602,0.9970238095238095,0.1425175666809082,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,Decision Tree,dirty,0.8508771929824561,0.7659574468085106,0.8571428571428571,0.8089887640449438,0.8521825396825397,0.8521825396825397,0.7091665333546633,0.0029320716857910156,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,Random Forest,dirty,0.8771929824561403,0.8043478260869565,0.8809523809523809,0.8409090909090909,0.9790013227513228,0.8779761904761905,0.9710239194337359,0.09333920478820801,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,XGBoost,dirty,0.9035087719298246,0.8297872340425532,0.9285714285714286,0.8764044943820225,0.9778439153439153,0.9087301587301587,0.9688542880623983,0.052533864974975586,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,low,LightGBM,dirty,0.8596491228070176,0.782608695652174,0.8571428571428571,0.8181818181818182,0.970568783068783,0.8591269841269842,0.9597462362239495,0.027342557907104492,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 5, 'ambiguous_labels': 22, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,Logistic Regression,dirty,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,0.9884259259259259,0.939484126984127,0.984148266785962,0.0048198699951171875,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,Gaussian Naive Bayes,dirty,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9947089947089948,0.9692460317460317,0.9915976225226618,0.000978231430053711,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,KNN,dirty,0.9210526315789473,0.8235294117647058,1.0,0.9032258064516129,0.9801587301587302,0.9375,0.9542483660130718,0.0009658336639404297,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,MLP,dirty,0.9035087719298246,0.803921568627451,0.9761904761904762,0.8817204301075269,0.9851190476190477,0.9186507936507937,0.9846773288340017,0.14197683334350586,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,Decision Tree,dirty,0.8245614035087719,0.7115384615384616,0.8809523809523809,0.7872340425531915,0.8363095238095237,0.8363095238095237,0.6706911509543089,0.0036640167236328125,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,Random Forest,dirty,0.8245614035087719,0.7037037037037037,0.9047619047619048,0.7916666666666666,0.955026455026455,0.8412698412698413,0.9372074474337015,0.08954071998596191,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
Breast Cancer,ambiguous_labels,medium,XGBoost,dirty,0.8596491228070176,0.75,0.9285714285714286,0.8297872340425532,0.9556878306878306,0.8740079365079365,0.9406801223022896,0.04602813720703125,455,30,"{'error_type': 'ambiguous_labels', 'intended_rate': 10, 'ambiguous_labels': 45, 'boundary_method': 'median distance in feature space', 'injection_version': 1, 'split_seed': 200}"
